host_is_superhost,city,country,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count
f,Kingston,Australia,-38.02256485,145.0989373,Entire home/apt,5,1.0,2.0,4.0,111,3,28,94.0,t,1
f,Yarra,Australia,-37.78212511,144.9880788,Entire home/apt,3,1.0,1.0,1.0,80,1,59,93.0,t,1
t,Port Phillip,Australia,-37.85371014,144.9815289,Entire home/apt,4,1.0,1.0,2.0,150,2,14,100.0,f,1
f,Glen Eira,Australia,-37.87639264,145.0366353,Entire home/apt,2,1.0,1.0,1.0,125,1,39,97.0,f,55
f,Melbourne,Australia,-37.81039846,144.9501135,Entire home/apt,3,1.0,1.0,2.0,79,3,7,97.0,t,1
f,Kingston,Australia,-38.01978077,145.0981462,Entire home/apt,2,1.0,1.0,1.0,277,1,4,90.0,f,3
f,Maribyrnong,Australia,-37.79986141,144.8833925,Private room,1,1.0,1.0,1.0,60,2,2,100.0,t,1
t,Stonnington,Australia,-37.83737318,144.9945046,Entire home/apt,3,1.0,1.0,1.0,101,1,2,90.0,t,22
t,Melbourne,Australia,-37.82416818,144.9619358,Private room,1,1.0,1.0,1.0,75,4,95,98.0,t,1
f,Hume,Australia,-37.67927703,144.8979412,Private room,2,1.0,1.0,1.0,40,1,100,94.0,f,7
f,Whitehorse,Australia,-37.8092463,145.1070491,Private room,2,1.0,1.0,1.0,47,1,5,100.0,f,4
f,Melbourne,Australia,-37.81718242,144.9713472,Entire home/apt,5,1.0,2.0,3.0,129,1,17,92.0,t,21
t,Melbourne,Australia,-37.80807202,144.9605089,Entire home/apt,4,1.0,1.0,2.0,150,1,13,97.0,f,4
t,Stonnington,Australia,-37.83863414,144.9943581,Entire home/apt,5,2.0,2.0,3.0,195,3,153,98.0,t,3
f,Monash,Australia,-37.90762019,145.1231729,Private room,2,2.0,1.0,1.0,55,2,1,100.0,f,2
f,Port Phillip,Australia,-37.83527296,144.9742978,Entire home/apt,4,1.0,2.0,2.0,199,2,20,92.0,f,1
f,Knox,Australia,-37.84242403,145.2291958,Private room,2,1.0,1.0,1.0,40,1000,1,20.0,f,1
f,Port Phillip,Australia,-37.87151482,144.9966598,Entire home/apt,6,2.5,3.0,3.0,349,3,31,98.0,f,1
